PROJECT_NAME;LA_TRANSFIGURACION;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AUTHOR;DMP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DATE;26/06/20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DEVICE;DUETTO 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WIDTH;3020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HEIGHT;4456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUM_SAMPLES;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
X;-;81;310;615;916;1217;1517;1827;2133;2443;2753;2982;81;310;615;916;1217;1517;1827;2133;2443;2753;2982;81;310;615;916;1217;1517;1827;2133;2443;2753;2982;81;310;615;916;1217;1517;1827;2133;2443;2753;2982;81;310;615;916;1217;1517;1827;2133;2443;2753;2982;81;310;615;916;1217;1517;1827;2133;2443;2753;2982;81;310;615;916;1217;1517;1827;2133;2443;2753;2982;81;310;615;916;1217;1517;1827;2133;2443;2753;2982;81;310;615;916;1217;1517;1827;2133;2443;2753;2982;81;310;615;916;1217;1517;1827;2133;2443;2753;2982;81;310;615;916;1217;1517;1827;2133;2443;2753;2982;81;310;615;916;1217;1517;1827;2133;2443;2753;2982;81;310;615;916;1217;1517;1827;2133;2443;2753;2982;81;310;615;916;1217;1517;1827;2133;2443;2753;2982;81;310;615;916;1217;1517;1827;2133;2443;2753;2982
Y;-;96;96;96;96;96;96;96;96;96;96;96;397;397;397;397;397;397;397;397;397;397;397;717;717;717;717;717;717;717;717;717;717;717;1014;1014;1014;1014;1014;1014;1014;1014;1014;1014;1014;1315;1315;1315;1315;1315;1315;1315;1315;1315;1315;1315;1630;1630;1630;1630;1630;1630;1630;1630;1630;1630;1630;1941;1941;1941;1941;1941;1941;1941;1941;1941;1941;1941;2247;2247;2247;2247;2247;2247;2247;2247;2247;2247;2247;2405;2405;2405;2405;2405;2405;2405;2405;2405;2405;2405;2558;2558;2558;2558;2558;2558;2558;2558;2558;2558;2558;2883;2883;2883;2883;2883;2883;2883;2883;2883;2883;2883;3179;3179;3179;3179;3179;3179;3179;3179;3179;3179;3179;3471;3471;3471;3471;3471;3471;3471;3471;3471;3471;3471;3791;3791;3791;3791;3791;3791;3791;3791;3791;3791;3791;4088;4088;4088;4088;4088;4088;4088;4088;4088;4088;4088
XRF; As;4381155;4459950;6956528;8702258;36452632;7172640;6761452;4688685;2283525;2100690;4860428;11359102;11897280;20965590;25871918;37088728;47729116;39745192;24831900;12248032;10637325;8179380;8458222;16601648;22730828;35270708;36942232;9670365;39517988;26230320;25836728;8857552;8645648;11821162;21562290;31272436;25229318;41505076;36672568;40979520;34103700;35954236;12147435;8515215;8803620;19198822;22307018;30166244;37222224;34514120;34631168;29376000;27202252;12606435;9422505;6627195;31903942;24807038;27094388;30629836;32854838;33560932;25999290;32246280;16854098;9061042;11653628;16702628;18037170;28725368;21409290;38539936;27896490;18279292;28347840;12100770;11142608;4189140;8706082;6135682;5197792;11865532;9217485;7731855;7097288;26271248;10019205;8258175;5080748;22221338;26658338;23523368;19210680;31029548;18759712;35539604;30318480;16838798;18532124;7143188;25905960;22334176;20605658;30447764;27714038;21055478;27837584;32051970;18018428;37475820;9303165;18809820;28518052;17369708;22208716;27125752;23054804;42223792;25081672;10668690;13649130;11392762;18272408;33425910;21101760;13478152;18692010;37610080;13151880;40297520;10931850;14570572;9577418;5220742;14930122;23645768;20233102;26438400;39127072;11465820;25292048;11776792;6546488;8645648;8701492;15425842;29142676;23392552;27342248;42696944;10236082;31747882;16294118;5126265;6726645;10439190;9703260;15502725;23207422;42932184;37078020;41610264;21350768;8271945;11133810
XRF; Ba;281520;353048;626152;862155;5806350;839205;705330;341572;203490;230265;852592;3061148;2626245;4111492;4451152;6479932;8451720;8147632;3520912;3010275;3388568;2422755;2272815;2571548;2963992;6103170;5528655;1120342;6040058;3967672;4486342;2811375;2274728;3317422;3552278;3926745;3555720;6007928;4912448;6082132;5819738;6133005;3999420;2529472;2877548;2882138;3586320;4821030;5675152;4333342;5407785;4279028;5479695;3366000;2573078;2078888;5605920;3145680;4187992;3976088;4052588;5137740;4180342;6137595;4222800;2382592;3457800;3029018;2496578;3693420;3559545;4930425;3300975;3063060;5544338;2817112;2700068;946305;3320482;2066648;1676880;4062532;2703892;2377620;2351228;7092315;2646900;2508818;1207170;5053208;3533918;3026340;2553570;3409222;2515320;3882375;4601858;4869225;5210415;1999710;4447710;3011422;2644222;3308242;4437765;2728372;5652968;5833508;5521005;7290450;1760265;2286202;3903030;2193255;2837002;3601238;2556248;6635610;3980678;2915415;2903175;2068560;2376855;4585028;2493518;2198610;1705185;4199468;2287732;5665208;2684002;4310392;1703272;941715;1780155;3282998;2189430;2477452;5078835;1649340;3277260;2021895;3164805;2195168;2451825;2058232;4252252;2606355;3268462;5540512;1577430;6299010;3805110;1915560;1404158;2179102;2237242;2145442;3093660;5556960;5104080;5875200;4019310;1876162;3938220
XRF; Ca;17249984;6232072;3531240;4048380;2589525;4094280;7060185;5971972;33492082;50715676;21400876;7269030;7697048;6150600;3807788;1815728;989910;2820555;5532480;5327842;5258992;5379480;7457220;6707902;4846275;3059235;1965668;4064445;3874342;4397985;4729612;5528655;5412758;28620562;20853518;3080272;18780368;1154002;1173128;1895670;4571640;4460715;5706900;4342140;19428704;17347904;5754712;3464302;2780775;1822612;2635808;4139415;5115172;5971590;4636282;33755624;4090455;5052442;4253400;3917182;3332340;8075340;4641638;3184695;4683330;14214465;48418760;37840344;13443728;7263675;33785080;3066885;18451418;29758118;3533152;4676445;10952122;58921832;45810496;50390932;43278344;5313690;42811696;52306112;53348424;4008600;39609788;31558544;40074144;7737975;11051190;9440100;33929280;5477782;48757656;3236715;24043950;16755030;4083188;48137240;2956342;14303205;19128060;4791195;16482308;31309538;16507552;7593008;1296675;1433610;7076632;7848135;6036998;5856458;37644120;6221362;28105336;955485;18917302;16122758;12990465;6443978;40099388;7651912;5550840;57958312;7310722;4164660;10529842;738608;42498428;5830065;17380036;8372925;9237758;15718838;24122744;7964798;2970495;14780565;3912592;55937948;89079280;41005528;29297970;26257478;5450242;38913256;37175176;2487398;18588352;8450190;34238340;95636856;69693032;39019592;9487912;37298720;36344768;1673055;1649340;1610708;48858640;51034296;43997828
XRF; Cd;45900;63495;92565;130050;458618;128138;112072;60818;47812;35955;96008;190102;180540;275400;250538;445612;724072;604732;273488;201578;184748;181305;192780;187808;250155;457852;450585;173655;479655;365288;331628;195075;185512;244418;216495;349605;275400;765382;459000;551565;575662;491130;284580;156060;170978;223762;188572;332392;462442;453645;537030;360698;358402;293378;196988;115515;346928;252832;371025;335452;410040;404302;335452;411188;353430;171742;244418;190102;173655;335835;261248;462825;279608;205020;309442;203490;192015;80325;200430;142290;100215;274635;193162;173272;169830;535882;189720;133110;104422;296820;234855;195458;153382;251685;183600;346545;314415;286110;393592;172125;288405;211522;150705;227205;306765;166770;267368;425722;457852;643365;163710;148028;249008;115515;213435;268515;157208;585608;256275;220320;189338;180158;142290;364905;162180;119340;113602;550418;102892;523260;157972;244800;367582;193162;106335;289170;174420;225292;489600;74588;206932;118575;171742;135788;136170;98302;395888;231412;316710;531292;83002;390532;279608;137700;110160;112455;115898;132728;212670;577958;618502;505665;239062;149940;209610
XRF; Co;0;0;0;0;689648;0;0;0;1125698;765765;278078;314415;367200;410805;386325;0;0;0;332775;299880;495338;181305;335452;605115;0;0;0;0;0;0;328185;301792;101745;0;0;9657360;685058;0;300262;0;0;0;222998;255128;0;0;7105320;320535;0;307148;0;360315;249390;139230;180922;0;818168;374850;347310;724072;0;0;311738;0;0;124695;0;0;780682;0;0;0;0;0;0;171742;204255;0;0;0;0;0;0;0;0;0;173272;0;0;0;0;1385032;0;2003535;0;0;0;0;247860;0;3668175;498780;0;3223328;0;0;0;0;0;0;1276020;3370972;300262;302558;0;1523498;0;0;0;0;0;3318952;418455;730575;0;819698;3743528;0;5225715;0;0;0;0;120488;8647178;0;0;3190815;0;4471425;988762;0;0;0;622328;0;0;0;0;0;8172112;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XRF; Cr;0;70762;0;0;0;0;100215;189720;12093502;11217960;3214530;0;50490;0;0;0;0;0;0;0;0;0;0;11475;0;0;0;12622;0;0;0;0;0;0;0;0;0;0;17212;16830;0;0;0;0;180540;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61582;0;0;0;0;0;0;0;0;0;0;0;0;427252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9562;0;0;0;0;0;0;0;0;0;0;102510;0;0;21802;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;877072;11858;0;0;0;0;0;482332;1106190;56992;0;0;19508;0;38632;0;291082;0;0;0;0;0;0;0;0;106718;0;0;0;31365;0;0;183600;0;0;0;0;0;0;0
XRF; Cu;2015392;634185;668228;574132;0;30218;90270;440640;281138;610470;1087830;0;70762;0;0;0;0;0;0;0;0;0;0;0;168682;0;0;184748;162945;0;0;38632;89122;0;0;451350;94860;0;0;0;0;0;0;0;76500;0;348840;0;0;0;0;0;0;0;0;79560;133492;0;0;0;0;0;0;0;75735;0;0;0;138465;0;0;0;0;86828;0;0;78030;0;0;0;0;0;0;0;0;0;47812;98302;0;0;0;110925;0;167152;0;0;146880;80708;101745;55462;177098;70380;0;219555;0;182835;114368;0;0;0;96008;182452;0;309825;126608;169448;178628;0;0;0;278078;165240;66938;0;432225;69998;240210;0;299880;0;0;212670;68850;58140;401242;0;0;183218;0;340808;111308;0;65408;117045;51255;63495;0;101745;162562;0;430695;0;0;60052;63878;66172;0;118958;164475;0;0;0;90270;0;107100
XRF; Fe;3388950;2397510;2656845;2015010;3824618;1501695;1834088;1635570;3181635;2952135;5568435;2083860;1454265;2555865;4443120;3761888;5034848;2616300;1959165;1642455;1393448;1616828;1542240;2020365;1764472;12166178;2013862;1400715;3431025;4799992;2602912;1630215;1741905;7513830;15957900;7654972;13583722;3028635;1590435;2812905;3803198;1829880;1754145;2634660;16613505;13259745;10282748;2980058;2631982;1858950;2055938;2907382;3337312;1318095;1760648;11777940;9443925;2208555;2119815;3373268;2828588;31638870;3415725;1936598;2576902;6161692;13546620;22061070;42323240;20963678;28996560;7755952;8031352;13701150;4417492;3086392;6119618;4834035;9124155;6041588;7024612;5191290;5851102;8805150;7858462;6598890;6062625;12314205;6228248;10903162;12637035;7363890;8214188;10662952;9495180;16046258;17368942;13121662;4925452;7809885;3999802;9274478;16004948;11754225;4902502;20390692;23805652;8734005;547358;0;2232270;5955525;7833600;7156192;15138202;10697378;16322422;1822230;10472085;10163408;10933380;3990240;9495180;10345860;3545775;12569715;9589275;5582588;6146775;3592822;17253044;7300778;21554258;5924160;9723915;30238156;15160770;6247372;0;5807880;9268740;21725618;27321976;10814805;9895275;33744152;12698618;9022792;13117838;0;9555232;17139442;38823368;15719985;12352838;9688342;8639910;9114210;12366990;0;0;0;8010315;3997890;8850285
